customer_message,brand_response,human_intent,human_handling,human_notes,predicted_intent,handling_decision,handling_reason
"@AmazonHelp Hi, i have some credit on my amazon account, can i use this credit on 'Amazon Prime Now'? Thanks",@562510 Have you received an error when trying to order using your gift cards? ^BM,prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'account'
@115821 still waiting for my package even though your reps said it'd be here before 10:30am..I'm highly disappointed 😓,"@236044 I'm so sorry you haven't received your order! Without giving account specific details, please let us know who the carrier is for this package. You can find that here: https://t.co/Y5jpI9gRhE ^HS",delivery_issue,auto_handle,,delivery_issue,escalate,Message contains high-risk support phrase: 'waiting for'
@115850 Bhaio Amazon se bhul kar v mobile tablet mat kharido kyuki inka polcy h no return no refund no exchange,@172546 That's quite a comment. Could you tell us if any of your concerns went unattended so that we can assist you accordingly?^SF,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
"@AmazonHelp So, how do I️ go about getting the order replaced?  Plus they need to add a sponge to my order to soak up all the water that poured out",@515217 Please let us look into this and go over options. Use this link so that we may do so:  https://t.co/hApLpMlfHN ^DO,product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
@AmazonHelp I’m deployed to Poland and trying to use Prime Video but keep getting the restriction message.,@458895 Please try the items shown on our Watch Abroad page: https://t.co/gT1CaOANHq ^DO,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@AmazonHelp when i placed order delivery date was 28 OCT and when shipped date changed to 30 Oct why,"@268571 We understand your concern about estimates, Rajat. Our delivery estimate is calculated based on multiple criteria, (1/n) ^SV",delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
"@115821 amazon prime is great, except when the wrong product gets sent to you.",@709579 Oh no! Have you experienced an issue with a recent order? ^DG,prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'wrong product'
"@AmazonHelp Fiz um pedido de um kindle ontem, paguei com cartão de débito, mais o valor não foi debitado na minha conta ainda, a transação ocorreu sem problemas, queria saber por que o valor não foi debitado, no site diz que o pedido está ok, mais tem alguma coisa errada",@404534 (2/2) você recebeu algum e-mail por parte da Amazon informando se houve algum problema com o pedido? ^AZ,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@119625 Pls pls bring Bollywood Hollywood to the catalog. #BollywoodHollywoodTheMovie #2002,@172576 Thanks for the feedback. I'll be sure to pass along your feedback to our team internally and have this reviewed. ^MM,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@115821 what happened here? Literally it’s in the same city as me and now the delivery date has been pushed back? https://t.co/vQpLyGMcUO,@406999 Sorry to see this - pls feel to contact UPS to see if they can confirm a delivery date : https://t.co/k8E2ZyCdqH  ^TD,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
@115850 Can You Provide  Status of My Order. My Order No 403-9757567-2512343,"@293797 Also, please don't provide your order/account details as we consider them to be personal information. ^HK",account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
"Amazon India delivered a fake Iphone 7 matte black to my doorstep. Perks of being a prime member!
@115850 @115821 @115858 @4088 https://t.co/kc9uAAKvJc","@188011 Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA",delivery_issue,escalate,,delivery_issue,escalate,Message contains sensitive or account-related keyword: 'phone'
@AmazonHelp @1840 3 times you've broken ur promises. How can i believe that you ll resolve it earliest? Dnt let us beg for our money.customers r not beggers.,@158382 Request you to wait till then. [2/2]^SK,product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
Still waiting for @115830 to call me regarding my complaint about their poor Prime service. Was supposed to happen on 28/10/17... 😡,@122485 I'm sorry to hear this! Have you checked for any e-mails indicating they haven't been able to reach you? ^MJ,prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'call me'
@116439 Why is the @189997 now app so poor on you 2nd Gen stick?  Picture quality drops like every 30-45 seconds.,@473917 I'm sorry about the trouble. We're happy to look into it for you here: https://t.co/hApLpMlfHN ^LI,technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
Hi @115830. Thanks for my Prime delivery today. Who pays for a replacement letterbox please? https://t.co/tLLnGGpdrW,"@714306 I'm so sorry about the damage to your letterbox, Dave! Can you reach out to us via phone here so that we can look into this with you?  https://t.co/JzP7hlA23B ^GS",product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
Estoy impresionado de la rapidez con la que llego mi pedido que hice ayer por la tarde en @116875 lástima que se lo voy a dar a mi sobrino hasta navidad.,"@187538 ¡Hola, Jesus! Es que nosotros entrenamos bastante para llevar los paquetes a tiempo 😂😂. Cuéntanos, ¿qué le vas a regalar a tu sobrino? ^LC https://t.co/YVTXZ9Go2i",general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
"@115830 why do you give ""Guaranteed"" delivery dates when you consistently miss them. What is the guaruntee?","@429300 Hi Chris, apologies, are you currently waiting on a delayed order: https://t.co/aaDyEz1VgE? ^JJ",delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp Chill guys.. I already have a Echo dot, enjoying it 😀",@350881 That's awesome :). Which skill is it that you enjoy a lot? ^GS,technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
".@115821 charged my credit card without my permission. Tried to talk to someone there, &amp; they are incapable of understanding that what they did was theft. Amazon is too large, &amp; no one is held accountable. @115851 makes his millions &amp; we get shafted. #badcustomerservice","@656710 I'm sorry for the unexpected charge! When you contacted us, were we able to explain the charge? What options were we able to provide? We want to make sure this is resolved for you! ^BN",prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'charged'
@115821 I can't figure out how to actually buy anything on your app? https://t.co/x9MfItxvDy,"@484116 What device are you attempting to make the purchase on? Let us know, we're glad to help! ^JE",technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
"@115821 @116016 - Amazon Chase Reward CC, used points for purchase, cancel purchase. How long until I got my AZM points back into my acct?",@423971 It can take up to 5 business days for you points to go back to your account: https://t.co/MCcbbII6vY ^VS,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'cancel'
@AmazonHelp account blocked man!,"@158308 To clarify, are you saying you're locked out of your account? If so, have you received an e-mail from an Account Specialist? ^WJ",account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'account'
@AmazonHelp Just dropped them off at the ups store. Sure hope this doesn't happen to anyone else,"@236682 Thank you for the update, and your patience! ^JR",technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
"@AmazonHelp Prime package late, then cs says arrive today and then another delay sent to wrong carrier PO and now is going other direction",@308585 I'm sorry for the wait! Which carrier is delivering the order? You can check for this here: https://t.co/Y5jpI9gRhE ^BH,delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
アマゾンを名乗る架空請求詐欺なメールが来た。メールってかショートメッセージだけど。,@619302 こんにちは、アマゾンです。当サイトの名をかたる架空請求詐欺が増えております。そのようなメールに記載されている連絡先には、ご連絡なさらないようお気を付けください。詳しくは、こちらをご参照ください。https://t.co/r6R7EU9RIb YM,general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
"@115850 If you cant honor orders, stop taking orders and then cancelling it once we lose opportunity to buy from your competitor!! Check OrderId 407-3570338-2876318 and 407-8674147-6797957. Get mature to do business !!","@385288 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^JS",refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'cancel'
@AmazonHelp @UPSHelp had a problem with 2 deliveries. #UPS finally contacted me. Looks like it will get resolved tomorrow. Now #Amazon is blowing me off and not calling me to discuss how they can make it right for me. What is it with these 2 companies?,"@765138 I'm sorry for the delay, Curtis! We've received your information and we'll be in touch. Thanks for reaching out to us for an update! ^EA",delivery_date_confusion,auto_handle,Manual review: keyword baseline predicted general_feedback; primary issue interpreted as delivery_date_confusion.,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
@115850 was excited to shop during sale but my refund still not credited. ☹️,@214772 Could you please tell us when was the refund issued? ^NR 2/2,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
@AmazonHelp Now it doesn't matter of previous orders but make sure this will deliver toay itself. Today is last delivery date. IT IS URGENT,@132980 Please wait till the end of the day. I'm positive that the order should be delivered. Thank you for your understanding. ^SC,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp Yes, 4 times till now. All they are doing is rescheduling the pick up and pick up services are cancelling them!","@486084 Sorry for the hassle with the pick up. We’d like to help you, please fill this form: https://t.co/beaaDm0muc . 1/2 ^RI",refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'cancel'
When will I be able to return an item @115821 ?,@658230 I am not sure I understand what you are asking. Without providing account details could you tell me more about what's going on? ^CN,general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp you sent me a 30 day free trial when i log in its trying to take payment of £7.99, thats not a 30 day free trial.","@250059 Have you ever had a free trial of Amazon Prime in the past? As long as you are eligible for the trial, we won't charge you for the membership until the 30-day trial period has ended: https://t.co/yAZZm1sgfi ^MB",prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'payment'
"@AmazonHelp registro do Kindle para usar a conta 1, aí teria que redefinir o K./conta veiculada de novo para ter acesso aos novos livros comprados? 🤔",@545613 Olá! Você poderá baixar e ler no seu Kindle só os eBooks comprados desde a conta onde o dispositivo está registrado. (1/2),digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
"@115821 / @AmazonHelp - Two day delivery is the promise, not “two days + processing + transit time.” Feeling like a 2nd class Prime member. https://t.co/tflnDw0Uin",@375664 (1/2) I'm sorry fr the wait! Two-Day shipping only applies after the item ships out. You can view all shipping,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp Matter is resolved through Amazon Helpdesk. Thanks for prompt action. Appreciate it!,@791482 Thanks for letting us know you were assisted. It's nice of you to follow up with a comment regarding the services. Do keep us posted for any further assistance. ^SV,technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
"@AmazonHelp Yes, checked it online first but there was no status update for 2 days and it's way past the guaranteed delivery date.",@330845 I apologize for the delay. Who's the carrier shown here: https://t.co/Y5jpI9gRhE ^AG,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp I was charged 104 bucks two months ago, for something I didn't purchase and  still haven't gotten a refund.","@677878 I'm sorry you haven't received a refund yet. Have you had a chance to reach out to us about this? If so, what was advised? ^VS",refund_cancellation,escalate,Manual review: keyword baseline predicted prime_membership_billing; primary issue interpreted as refund_cancellation.,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'refund'
Queria tanto um Kindle Paperwhite.. Vai rolar promoção na Black Friday @117086?,@629291 Olá! A Black Friday será no dia 24 de novembro. Fique de olho no nosso site e nas nossas redes sociais para novidades. ^JJ,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
"@115850:Issue with Order 402-1504192-7579549,product advertised as 'Fitbit' but it wasn't an original one.No pickup for return order so had to ship it at my personal expense (Rs 360).The product has reached the seller before 2 months but no signs of my refund yet,Disappointing!","@748047 Sorry for the disappointment with the refund of your order, we certainly did not expect this to happen. Kindly report this to our support team here: https://t.co/TdDksLo6Mf. We'll look into it. 1/2 ^PS",refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
@115850 order no. 447199191841 is still pending since 16th fake message by Amazon team,@561519 I'm sorry you've not received your order. We'd like to look into it. Kindly report this to our support team here:^AR 1/3,account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
@115850 Hi Amazon my account has been closed without reason please help . There is no proper response from __email__,"@182608 We're following up on your concern, here: https://t.co/ThTaQUyCpg. ^YP",account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'account'
"@AmazonHelp Yes, my prime 2-day delivery date was yesterday, the 19th.",@320321 I'm so sorry it's late! Have you received an updated delivery date? ^WJ,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp hola buenos días tengo un problema y es que me han cobrado la cuota de 20 euros de amazon prime y yo no tengo amazon prime quiero que me devuelvan el dinero ya que no quería efectuar el pago me di de baja,"@242936 Hola Oscar, lamentamos lo sucedido. Por este medio no contamos con acceso a tu cuenta, por favor contacta nuestro Servicio al Cliente mediante el siguiente enlace: https://t.co/OjvUxw5YqE. ^AZ",prime_membership_billing,escalate,,prime_membership_billing,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp This has been ongoing since June. Last contact was 10/22 with account specialists. Just getting the run around. Very disheartening,"@393949 I'm terribly sorry for the trouble, Paige. For the best resolution, please respond to the e-mail with the requested info. ^FD",account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'account'
@AmazonHelp ordered vinyl expected today. now getting delivery date of 4th december. please help??,@791889 I'm sorry for this delay. Did you recieve a notificaton on this change in delivery date:  https://t.co/aaDyEz1VgE ^DO,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
"@119625 How come you only have 10 episodes of #suits in season 6, I didn't pay for prime to have unfinished season #disappointed",@431440 Unfortunately these episodes are no longer available. We’re constantly adding new content to our library. 1/2^MS,prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains high-risk support phrase: 'unfinished season'
"@AmazonHelp It's still in its plastic, but the disc is loose and there is rattling parts, it has been squashed or broken during transit or packing. I didn't click return on the website because it will cost me more than the original item and postage combined to return the broken DVD.",@143375 Was this item shipped and sold by Amazon or a Marketplace seller? ^DO,product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
@AmazonHelp Do we have a driver with GPS dyslexia? I mean it takes all sorts...,@472837 I'm so sorry you don't have your delivery! Please reach out to us here: https://t.co/JzP7hlA23B and we can help. ^TK,general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp Can you please send the mail again to the corresponding account __email__,"@513721 Please don't provide your email Id, we consider it to be personal information. Our page is visible to the public. 2/2 ^RI",account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'account'
"@115830 Amazon prime: horrible customer service for a very misleading marketing: pretending free trial and then been told it's not a free trial, APPALING","@643630 I'm so sorry you are having trouble with the Prime free trial. Could you give me more information about what's happening? We're here to help.
^AV",prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains high-risk support phrase: 'not a free trial'
"@115821 Order #407-2108775-9443517 
#FRAUD #CHEAT #SELLER_OF_DEFECTIVE_GOOD #BULLY https://t.co/KYjMDr3lxU",@599860 Sorry about the inconvenience. We'd like to take a closer look at this. ^NR 1/3,product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
@AmazonHelp I have no idea whether it is on hold or no.Tried changing the password stll showing incorrect password.regstrd id __email__,@380108 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS,account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'password'
"@115850 first u send to me a wrong item. Then when I ask for the right product, u ask me to send it myself lest giving the right product.",@367384 certain pin codes Request you to self return the item through any courier. 2/2 ^NK,product_replacement,escalate,,product_replacement,escalate,Message contains sensitive or account-related keyword: 'wrong item'
@AmazonHelp i am unable to view amazon prime video titles on my pc. accessed it through edge and firefox browsers,"@692197 We have checked and everything seems to be fine. Request you to clear all the cookies, cache and browsing history. If still having issues, please let us know of any specific error. ^BS",digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
"@AmazonHelp Hi, I moved to Japan. Can I change something that I can use amazon prime video here? Coming from Germany",@562035 Are you going to be using Amazon.jp? ^BM,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
"@AmazonHelp hi, is there any way of telling who sent me a parcel in my name?","@238169 Hi there, please get in touch with us and provide the tracking details/address. We may be able to look it up for you. ^SH",delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp This is the same page for replacement queries. I have initiated replacement again now. Hope it is resolved soon!,"@419252 Okay... For any further assistance, keep us posted. ^HR",product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
@AmazonHelp All prime products on Amazon UK are again showing delivery next Monday 27th Not next day or two day delivery. Every Item listed as Prime does not have prime delivery. This is the same issue that appeared at the beginning of the month!,"@142694 Delivery dates for Black Friday sales and Cyber Week deals may take slightly longer than usual. For more information, please click here: https://t.co/VVOzWBy7Pj I hope this helps! ^NN",delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
@AmazonHelp Please make sure this gets escalated and I receive a call.,"@326613 Sure, as you've shared your details we'll get back to you. ^HN",delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp you have sent me another phone with a defective screen. Larger, more numerous scratches inside the display. I have raised a replacement/engineer request already but I want you to understand this is absolutely not done","@226493 Also, please reach out to our support team here:https://t.co/vlvfJr4nN9 for further assistance. 2/2 ^EM",product_replacement,escalate,,product_replacement,escalate,Message contains sensitive or account-related keyword: 'phone'
@115833 @116439 Not working with indian model of echo dot and fire tv stick,@253358 Keep checking the Echo page for new devices that will support Alexa. ^NR,technical_device_issue,escalate,Manual review: keyword baseline predicted product_replacement; primary issue interpreted as technical_device_issue.,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
